거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"192,000",2004,2024,내수동,경희궁의아침3단지,1,13,149,72,11110,4
"192,000",2004,2024,내수동,경희궁의아침3단지,1,13,149,72,11110,4
"46,000",2003,2024,명륜1가,리치캐슬아파트,1,4,64.68,33-85,11110,4
"57,400",2003,2024,명륜1가,송림아마레스아파트,1,26,75.62,2-12,11110,5
"57,500",1993,2024,창신동,창신쌍용2,1,8,64.66,703,11110,9
"13,500",2014,2024,숭인동,삼전솔하임4차,1,9,15.09,318-2,11110,15
"95,000",2008,2024,숭인동,종로센트레빌,1,19,84.92,2-1,11110,2
"101,300",2009,2024,숭인동,종로청계힐스테이트,1,19,84.9478,766,11110,13
"101,300",2009,2024,숭인동,종로청계힐스테이트,1,19,84.9478,766,11110,13
"80,000",2009,2024,숭인동,종로청계힐스테이트,1,27,59.9426,766,11110,11
"190,000",2008,2024,사직동,광화문스페이스본(101동~105동),2,16,159.01,9,11110,13
"167,000",2008,2024,사직동,광화문스페이스본(101동~105동),2,23,136.4,9,11110,11
"60,000",1993,2024,창신동,창신쌍용2,2,2,64.66,703,11110,11
"57,000",1993,2024,창신동,창신쌍용2,2,5,79.87,703,11110,2
"60,000",1999,2024,창신동,두산,2,13,59.95,232,11110,2
"67,000",1992,2024,창신동,창신쌍용1,2,27,54.7,702,11110,11
"12,300",2013,2024,숭인동,종로중흥S클래스,2,15,17.811,202-3,11110,9
"26,000",1997,2024,숭인동,도시그린빌라,2,17,44.4,181-121,11110,3
"11,400",2013,2024,숭인동,종로동광모닝스카이,2,23,15.855,1421-1,11110,11
"44,000",1997,2024,숭인동,"동문(비동,씨동)(494-0)",2,24,59.94,494,11110,5
"173,500",2008,2024,사직동,광화문스페이스본(101동~105동),3,9,131.44,9,11110,9
"40,500",2003,2024,익선동,현대뜨레비앙,3,12,43.98,55,11110,5
"122,000",1995,2024,명륜2가,아남1,3,1,84.9,4,11110,8
"124,000",1995,2024,명륜2가,아남1,3,3,84.9,4,11110,18
"106,000",1995,2024,명륜2가,아남1,3,15,84.9,4,11110,4
"120,500",1995,2024,명륜2가,아남1,3,28,84.9,4,11110,10
"127,000",1995,2024,명륜2가,아남1,3,29,84.9,4,11110,11
"57,500",1992,2024,창신동,창신쌍용1,3,23,54.7,702,11110,3
"57,300",1993,2024,창신동,창신쌍용2,3,25,64.66,703,11110,14
"61,850",1993,2024,창신동,창신쌍용2,3,29,115.53,703,11110,9
